lon,lat,class
1.400000000000000000e+03,-4.000000000000000000e+00,1.000000000000000000e+00
2.091000000000000000e+03,-4.000000000000000000e+00,1.000000000000000000e+00
4.100000000000000000e+01,-1.600000000000000000e+01,1.000000000000000000e+00
1.775000000000000000e+03,-2.500000000000000000e+01,1.000000000000000000e+00
1.112000000000000000e+03,-5.800000000000000000e+01,1.000000000000000000e+00
3.329000000000000000e+03,-8.700000000000000000e+01,1.000000000000000000e+00
3.008000000000000000e+03,-1.080000000000000000e+02,1.000000000000000000e+00
6.700000000000000000e+02,-1.830000000000000000e+02,1.000000000000000000e+00
3.608000000000000000e+03,-2.370000000000000000e+02,1.000000000000000000e+00
3.287000000000000000e+03,-2.500000000000000000e+02,1.000000000000000000e+00
1.112000000000000000e+03,-2.620000000000000000e+02,1.000000000000000000e+00
3.995000000000000000e+03,-3.620000000000000000e+02,1.000000000000000000e+00
2.662000000000000000e+03,-3.660000000000000000e+02,1.000000000000000000e+00
2.620000000000000000e+02,-3.830000000000000000e+02,1.000000000000000000e+00
3.291000000000000000e+03,-3.870000000000000000e+02,1.000000000000000000e+00
3.612000000000000000e+03,-4.160000000000000000e+02,1.000000000000000000e+00
2.350000000000000000e+03,-4.750000000000000000e+02,1.000000000000000000e+00
2.437000000000000000e+03,-4.870000000000000000e+02,1.000000000000000000e+00
2.500000000000000000e+03,-5.040000000000000000e+02,1.000000000000000000e+00
1.791000000000000000e+03,-5.620000000000000000e+02,1.000000000000000000e+00
2.770000000000000000e+03,-5.660000000000000000e+02,1.000000000000000000e+00
3.208000000000000000e+03,-5.700000000000000000e+02,1.000000000000000000e+00
2.541000000000000000e+03,-6.500000000000000000e+02,1.000000000000000000e+00
1.200000000000000000e+03,-6.660000000000000000e+02,1.000000000000000000e+00
1.533000000000000000e+03,-6.660000000000000000e+02,1.000000000000000000e+00
3.904000000000000000e+03,-7.080000000000000000e+02,1.000000000000000000e+00
1.300000000000000000e+03,-7.200000000000000000e+02,1.000000000000000000e+00
9.040000000000000000e+02,-7.250000000000000000e+02,1.000000000000000000e+00
3.237000000000000000e+03,-7.450000000000000000e+02,1.000000000000000000e+00
2.833000000000000000e+03,-7.660000000000000000e+02,1.000000000000000000e+00
2.250000000000000000e+03,-7.830000000000000000e+02,1.000000000000000000e+00
2.745000000000000000e+03,-8.290000000000000000e+02,1.000000000000000000e+00
2.533000000000000000e+03,-8.330000000000000000e+02,1.000000000000000000e+00
3.660000000000000000e+02,-8.410000000000000000e+02,1.000000000000000000e+00
3.479000000000000000e+03,-8.500000000000000000e+02,1.000000000000000000e+00
