lon,lat,class
8.750000000000000000e+02,-5.800000000000000000e+01,1.000000000000000000e+00
2.350000000000000000e+03,-1.250000000000000000e+02,1.000000000000000000e+00
3.466000000000000000e+03,-1.540000000000000000e+02,1.000000000000000000e+00
1.620000000000000000e+02,-2.450000000000000000e+02,1.000000000000000000e+00
2.854000000000000000e+03,-2.500000000000000000e+02,1.000000000000000000e+00
3.429000000000000000e+03,-2.540000000000000000e+02,1.000000000000000000e+00
2.700000000000000000e+02,-2.620000000000000000e+02,1.000000000000000000e+00
2.212000000000000000e+03,-2.870000000000000000e+02,1.000000000000000000e+00
2.095000000000000000e+03,-2.950000000000000000e+02,1.000000000000000000e+00
1.262000000000000000e+03,-3.870000000000000000e+02,1.000000000000000000e+00
1.962000000000000000e+03,-3.870000000000000000e+02,1.000000000000000000e+00
1.479000000000000000e+03,-4.000000000000000000e+02,1.000000000000000000e+00
3.683000000000000000e+03,-4.080000000000000000e+02,1.000000000000000000e+00
1.383000000000000000e+03,-4.410000000000000000e+02,1.000000000000000000e+00
3.450000000000000000e+03,-4.500000000000000000e+02,1.000000000000000000e+00
3.116000000000000000e+03,-4.910000000000000000e+02,1.000000000000000000e+00
3.962000000000000000e+03,-5.000000000000000000e+02,1.000000000000000000e+00
2.295000000000000000e+03,-5.200000000000000000e+02,1.000000000000000000e+00
1.160000000000000000e+02,-5.410000000000000000e+02,1.000000000000000000e+00
3.658000000000000000e+03,-5.410000000000000000e+02,1.000000000000000000e+00
1.691000000000000000e+03,-5.830000000000000000e+02,1.000000000000000000e+00
4.040000000000000000e+02,-6.410000000000000000e+02,1.000000000000000000e+00
2.525000000000000000e+03,-6.410000000000000000e+02,1.000000000000000000e+00
5.120000000000000000e+02,-6.540000000000000000e+02,1.000000000000000000e+00
2.241000000000000000e+03,-6.580000000000000000e+02,1.000000000000000000e+00
3.116000000000000000e+03,-6.700000000000000000e+02,1.000000000000000000e+00
1.650000000000000000e+03,-6.870000000000000000e+02,1.000000000000000000e+00
1.325000000000000000e+03,-7.160000000000000000e+02,1.000000000000000000e+00
1.029000000000000000e+03,-7.410000000000000000e+02,1.000000000000000000e+00
2.370000000000000000e+02,-7.870000000000000000e+02,1.000000000000000000e+00
2.187000000000000000e+03,-7.870000000000000000e+02,1.000000000000000000e+00
3.633000000000000000e+03,-7.870000000000000000e+02,1.000000000000000000e+00
3.045000000000000000e+03,-7.950000000000000000e+02,1.000000000000000000e+00
3.879000000000000000e+03,-7.950000000000000000e+02,1.000000000000000000e+00
2.483000000000000000e+03,-8.080000000000000000e+02,1.000000000000000000e+00
1.625000000000000000e+03,-8.290000000000000000e+02,1.000000000000000000e+00
1.283000000000000000e+03,-8.410000000000000000e+02,1.000000000000000000e+00
3.366000000000000000e+03,-8.700000000000000000e+02,1.000000000000000000e+00
2.245000000000000000e+03,-8.750000000000000000e+02,1.000000000000000000e+00
1.920000000000000000e+03,-8.830000000000000000e+02,1.000000000000000000e+00
3.041000000000000000e+03,-8.870000000000000000e+02,1.000000000000000000e+00
2.758000000000000000e+03,-9.000000000000000000e+02,1.000000000000000000e+00
3.587000000000000000e+03,-9.250000000000000000e+02,1.000000000000000000e+00
3.866000000000000000e+03,-9.290000000000000000e+02,1.000000000000000000e+00
3.308000000000000000e+03,-9.540000000000000000e+02,1.000000000000000000e+00
6.620000000000000000e+02,-9.620000000000000000e+02,1.000000000000000000e+00
3.083000000000000000e+03,-9.660000000000000000e+02,1.000000000000000000e+00
2.454000000000000000e+03,-1.004000000000000000e+03,1.000000000000000000e+00
1.616000000000000000e+03,-1.012000000000000000e+03,1.000000000000000000e+00
1.879000000000000000e+03,-1.012000000000000000e+03,1.000000000000000000e+00
5.800000000000000000e+01,-1.029000000000000000e+03,1.000000000000000000e+00
2.512000000000000000e+03,-1.041000000000000000e+03,1.000000000000000000e+00
1.091000000000000000e+03,-1.058000000000000000e+03,1.000000000000000000e+00
2.129000000000000000e+03,-1.091000000000000000e+03,1.000000000000000000e+00
3.410000000000000000e+02,-1.129000000000000000e+03,1.000000000000000000e+00
1.562000000000000000e+03,-1.129000000000000000e+03,1.000000000000000000e+00
1.854000000000000000e+03,-1.154000000000000000e+03,1.000000000000000000e+00
3.795000000000000000e+03,-1.179000000000000000e+03,1.000000000000000000e+00
3.290000000000000000e+02,-1.229000000000000000e+03,1.000000000000000000e+00
2.391000000000000000e+03,-1.233000000000000000e+03,1.000000000000000000e+00
2.141000000000000000e+03,-1.258000000000000000e+03,1.000000000000000000e+00
2.691000000000000000e+03,-1.266000000000000000e+03,1.000000000000000000e+00
3.195000000000000000e+03,-1.279000000000000000e+03,1.000000000000000000e+00
2.483000000000000000e+03,-1.295000000000000000e+03,1.000000000000000000e+00
3.787000000000000000e+03,-1.333000000000000000e+03,1.000000000000000000e+00
3.450000000000000000e+03,-1.383000000000000000e+03,1.000000000000000000e+00
2.966000000000000000e+03,-1.395000000000000000e+03,1.000000000000000000e+00
3.533000000000000000e+03,-1.404000000000000000e+03,1.000000000000000000e+00
2.008000000000000000e+03,-1.412000000000000000e+03,1.000000000000000000e+00
2.679000000000000000e+03,-1.420000000000000000e+03,1.000000000000000000e+00
1.179000000000000000e+03,-1.425000000000000000e+03,1.000000000000000000e+00
3.212000000000000000e+03,-1.433000000000000000e+03,1.000000000000000000e+00
1.420000000000000000e+03,-1.487000000000000000e+03,1.000000000000000000e+00
9.000000000000000000e+02,-1.491000000000000000e+03,1.000000000000000000e+00
2.641000000000000000e+03,-1.541000000000000000e+03,1.000000000000000000e+00
3.191000000000000000e+03,-1.587000000000000000e+03,1.000000000000000000e+00
2.616000000000000000e+03,-1.608000000000000000e+03,1.000000000000000000e+00
1.870000000000000000e+02,-1.679000000000000000e+03,1.000000000000000000e+00
2.870000000000000000e+03,-1.683000000000000000e+03,1.000000000000000000e+00
3.954000000000000000e+03,-1.683000000000000000e+03,1.000000000000000000e+00
3.408000000000000000e+03,-1.716000000000000000e+03,1.000000000000000000e+00
2.058000000000000000e+03,-1.720000000000000000e+03,1.000000000000000000e+00
2.958000000000000000e+03,-1.720000000000000000e+03,1.000000000000000000e+00
1.712000000000000000e+03,-1.737000000000000000e+03,1.000000000000000000e+00
2.545000000000000000e+03,-1.754000000000000000e+03,1.000000000000000000e+00
9.910000000000000000e+02,-1.779000000000000000e+03,1.000000000000000000e+00
3.683000000000000000e+03,-1.808000000000000000e+03,1.000000000000000000e+00
2.804000000000000000e+03,-1.812000000000000000e+03,1.000000000000000000e+00
3.420000000000000000e+03,-1.812000000000000000e+03,1.000000000000000000e+00
1.200000000000000000e+02,-1.825000000000000000e+03,1.000000000000000000e+00
1.670000000000000000e+03,-1.825000000000000000e+03,1.000000000000000000e+00
2.429000000000000000e+03,-1.833000000000000000e+03,1.000000000000000000e+00
2.304000000000000000e+03,-1.850000000000000000e+03,1.000000000000000000e+00
2.554000000000000000e+03,-1.862000000000000000e+03,1.000000000000000000e+00
3.562000000000000000e+03,-1.870000000000000000e+03,1.000000000000000000e+00
2.000000000000000000e+03,-1.933000000000000000e+03,1.000000000000000000e+00
6.040000000000000000e+02,-1.975000000000000000e+03,1.000000000000000000e+00
1.354000000000000000e+03,-1.983000000000000000e+03,1.000000000000000000e+00
2.229000000000000000e+03,-1.983000000000000000e+03,1.000000000000000000e+00
3.987000000000000000e+03,-2.016000000000000000e+03,1.000000000000000000e+00
1.066000000000000000e+03,-2.020000000000000000e+03,1.000000000000000000e+00
2.520000000000000000e+03,-2.037000000000000000e+03,1.000000000000000000e+00
3.633000000000000000e+03,-2.095000000000000000e+03,1.000000000000000000e+00
2.270000000000000000e+03,-2.100000000000000000e+03,1.000000000000000000e+00
1.350000000000000000e+03,-2.104000000000000000e+03,1.000000000000000000e+00
2.858000000000000000e+03,-2.104000000000000000e+03,1.000000000000000000e+00
3.912000000000000000e+03,-2.116000000000000000e+03,1.000000000000000000e+00
2.791000000000000000e+03,-2.120000000000000000e+03,1.000000000000000000e+00
1.929000000000000000e+03,-2.145000000000000000e+03,1.000000000000000000e+00
3.316000000000000000e+03,-2.145000000000000000e+03,1.000000000000000000e+00
1.000000000000000000e+03,-2.175000000000000000e+03,1.000000000000000000e+00
1.120000000000000000e+02,-2.191000000000000000e+03,1.000000000000000000e+00
3.700000000000000000e+01,-2.200000000000000000e+03,1.000000000000000000e+00
3.591000000000000000e+03,-2.237000000000000000e+03,1.000000000000000000e+00
2.270000000000000000e+03,-2.245000000000000000e+03,1.000000000000000000e+00
3.312000000000000000e+03,-2.287000000000000000e+03,1.000000000000000000e+00
1.912000000000000000e+03,-2.300000000000000000e+03,1.000000000000000000e+00
1.254000000000000000e+03,-2.308000000000000000e+03,1.000000000000000000e+00
1.316000000000000000e+03,-2.312000000000000000e+03,1.000000000000000000e+00
6.290000000000000000e+02,-2.333000000000000000e+03,1.000000000000000000e+00
2.758000000000000000e+03,-2.345000000000000000e+03,1.000000000000000000e+00
2.458000000000000000e+03,-2.354000000000000000e+03,1.000000000000000000e+00
2.162000000000000000e+03,-2.370000000000000000e+03,1.000000000000000000e+00
3.033000000000000000e+03,-2.387000000000000000e+03,1.000000000000000000e+00
3.587000000000000000e+03,-2.437000000000000000e+03,1.000000000000000000e+00
2.783000000000000000e+03,-2.445000000000000000e+03,1.000000000000000000e+00
3.075000000000000000e+03,-2.450000000000000000e+03,1.000000000000000000e+00
1.933000000000000000e+03,-2.470000000000000000e+03,1.000000000000000000e+00
2.445000000000000000e+03,-2.479000000000000000e+03,1.000000000000000000e+00
1.270000000000000000e+03,-2.483000000000000000e+03,1.000000000000000000e+00
2.687000000000000000e+03,-2.491000000000000000e+03,1.000000000000000000e+00
8.950000000000000000e+02,-2.525000000000000000e+03,1.000000000000000000e+00
2.470000000000000000e+03,-2.537000000000000000e+03,1.000000000000000000e+00
1.845000000000000000e+03,-2.579000000000000000e+03,1.000000000000000000e+00
3.866000000000000000e+03,-2.579000000000000000e+03,1.000000000000000000e+00
4.000000000000000000e+00,-2.625000000000000000e+03,1.000000000000000000e+00
1.537000000000000000e+03,-2.633000000000000000e+03,1.000000000000000000e+00
6.620000000000000000e+02,-2.645000000000000000e+03,1.000000000000000000e+00
2.954000000000000000e+03,-2.645000000000000000e+03,1.000000000000000000e+00
3.225000000000000000e+03,-2.683000000000000000e+03,1.000000000000000000e+00
3.504000000000000000e+03,-2.712000000000000000e+03,1.000000000000000000e+00
5.830000000000000000e+02,-2.716000000000000000e+03,1.000000000000000000e+00
2.904000000000000000e+03,-2.779000000000000000e+03,1.000000000000000000e+00
2.658000000000000000e+03,-2.858000000000000000e+03,1.000000000000000000e+00
8.540000000000000000e+02,-2.866000000000000000e+03,1.000000000000000000e+00
3.533000000000000000e+03,-2.916000000000000000e+03,1.000000000000000000e+00
6.410000000000000000e+02,-2.929000000000000000e+03,1.000000000000000000e+00
1.420000000000000000e+03,-2.958000000000000000e+03,1.000000000000000000e+00
1.125000000000000000e+03,-2.962000000000000000e+03,1.000000000000000000e+00
2.341000000000000000e+03,-2.991000000000000000e+03,1.000000000000000000e+00
2.587000000000000000e+03,-2.991000000000000000e+03,1.000000000000000000e+00
3.450000000000000000e+03,-2.995000000000000000e+03,1.000000000000000000e+00
1.254000000000000000e+03,-3.870000000000000000e+02,3.000000000000000000e+00
1.250000000000000000e+02,-5.250000000000000000e+02,3.000000000000000000e+00
1.933000000000000000e+03,-8.080000000000000000e+02,3.000000000000000000e+00
2.245000000000000000e+03,-8.370000000000000000e+02,3.000000000000000000e+00
1.033000000000000000e+03,-8.830000000000000000e+02,3.000000000000000000e+00
3.287000000000000000e+03,-9.040000000000000000e+02,3.000000000000000000e+00
8.000000000000000000e+00,-1.016000000000000000e+03,3.000000000000000000e+00
8.300000000000000000e+01,-1.037000000000000000e+03,3.000000000000000000e+00
1.079000000000000000e+03,-1.058000000000000000e+03,3.000000000000000000e+00
2.458000000000000000e+03,-1.083000000000000000e+03,3.000000000000000000e+00
3.000000000000000000e+02,-1.091000000000000000e+03,3.000000000000000000e+00
1.558000000000000000e+03,-1.095000000000000000e+03,3.000000000000000000e+00
6.000000000000000000e+02,-1.179000000000000000e+03,3.000000000000000000e+00
